,corcoef
AT2G07213.1,0.071582785
AT2G17180.1,0.151278644
AT1G07645.1,0.20426499
AT4G20070.1,0.099094287
AT1G09433.1,0.184000177
AT3G51580.1,0.095892923
AT4G11670.2,0.185757034
AT1G66210.1,0.187780045
AT2G38770.1,0.069901195
AT1G35645.1,0.118549784
AT3G43415.1,0.112229071
AT5G36655.1,0.146188839
AT5G64813.1,0.216481708
AT2G33110.2,0.123389266
AT1G13230.1,0.122439985
AT1G57450.1,0.096930078
AT3G09455.1,0.09801392
AT4G03930.1,0.124855306
AT5G01960.1,0.054344908
AT5G62310.1,0.112090965
AT4G31150.3,0.27736852
AT5G32517.1,0.137455861
AT2G37220.1,0.252024897
AT4G13262.1,0.19485385
AT3G31317.1,0.297214858
AT5G38930.1,0.151307245
AT5G08670.1,0.106028161
AT3G06405.1,0.203395759
AT2G01910.1,0.165538883
AT5G46330.1,0.19380202
AT5G17070.1,0.296428023
AT2G20298.1,0.222250229
AT1G62225.1,0.122380121
AT1G43387.1,0.196739475
AT3G60565.1,0.129280822
AT3G05650.1,0.331799898
AT5G25630.3,0.191946793
AT5G06900.1,0.097598691
AT4G29540.3,0.065104875
AT3G01060.1,0.133152333
AT4G27900.1,0.061063143
AT2G13750.1,0.194171073
AT5G05995.1,0.150972138
AT1G28420.1,0.082983776
AT1G79520.3,0.218240804
AT2G10860.1,0.182287818
AT5G52360.1,0.22499698
AT1G61490.4,0.180804036
AT4G13080.1,0.219342826
AT5G32420.2,0.098849905
AT4G04380.1,0.304922433
AT3G28760.2,0.277013969
AT3G07080.1,0.077012668
AT1G43745.1,0.141025923
AT5G41370.1,0.151304127
AT5G30102.1,0.168456543
AT4G35690.1,0.095277744
AT3G06075.1,0.068216633
AT2G11380.1,0.171036544
AT3G62850.1,0.189313855
AT3G03260.2,0.172144424
AT2G41990.1,0.152728754
AT3G30388.1,0.096113145
AT2G22300.3,0.148964253
AT2G05565.1,0.1204615
AT1G06110.1,0.305847901
