"","V1"
"AT5G47080.3",0.19664153605114
"AT2G40280.1",0.358342419585663
"AT2G02640.1",0.279639738798593
"AT5G22640.3",0.087509891683673
"AT2G38170.3",0.25466691463418
"AT3G44730.2",0.165196279082168
"AT5G67250.1",0.185825409832013
"AT1G22400.1",0.257351314486236
"AT2G42560.1",0.11306028658538
"AT3G42760.1",0.201068957114992
"AT1G05297.1",0.302917147408057
"AT3G46640.2",0.140243374124753
"AT4G29090.1",0.0891710456609267
"AT3G16770.1",0.411691755603881
"AT5G58380.1",0.198040038843996
"AT5G22560.1",0.127044504467905
"AT5G39785.3",0.101008374882234
"AT2G12940.1",0.234752197054209
"AT3G00820.1",0.140387029610491
"AT3G31358.1",0.053938537757171
"AT4G27530.1",0.0854552642050973
"AT1G32050.1",0.0800430735760191
"AT2G11370.1",0.0529567603471631
"AT1G55460.1",0.151077253380378
"AT1G26800.1",0.093475853133689
"AT3G42471.1",0.109786621549073
"AT1G64130.1",0.126583714588996
"AT5G19740.1",0.150788359319906
"AT2G34925.1",0.0950340592570246
"AT3G49200.1",0.3016185715781
"AT5G56490.1",0.0983578231753456
"AT5G56670.1",0.0850748011017021
"AT5G00675.1",0.246000688326237
"AT1G67000.1",0.275264964400022
"AT5G02495.1",0.467562035890039
"AT1G21550.1",0.331471787173226
"AT3G01655.1",0.295554085697365
"AT4G15215.3",0.0522900853909683
"AT4G19550.2",0.281273407968961
"AT5G62900.1",0.420246394602692
"AT1G05660.1",0.129110773088673
"AT3G61690.2",0.233267098371962
"AT1G52010.1",0.342812231430333
"AT2G01460.3",0.307483266136455
"AT2G47100.1",0.119782004767102
"AT3G10870.1",0.163609844660562
"AT1G04803.1",0.0781811778415201
"AT1G08953.1",0.122846860206526
"AT4G37570.1",0.104783453286656
"AT1G73885.1",0.415041869568596
"AT1G51030.1",0.3206301038717
"AT5G05740.2",0.0686051054290276
"AT5G50320.1",0.23398474695514
"AT4G10010.2",0.162639656442592
"AT3G11440.2",0.122866560645325
"AT5G67580.1",0.252662802619167
"AT1G29410.2",0.0653961684134715
"AT3G58800.1",0.236056866351589
"AT3G03995.1",0.137187775952483
"AT1G03290.2",0.185334147440488
"AT4G12230.1",0.234283616739668
"AT2G09160.1",0.0751743506581564
"AT5G20430.1",0.131294970035731
"AT5G17140.1",0.080637317080502
"AT5G43930.3",0.0647229714763418
"AT5G24000.1",0.107422374003559
"AT2G02200.1",0.378892852762632
"AT4G06618.1",0.195036060452986
"AT1G10310.1",0.099955214334612
"AT1G63450.1",0.0653347844241947
"AT5G02650.1",0.0982025957909828
"AT5G50290.1",0.121377139336176
"AT5G62260.2",-0.0538329900075085
"AT3G33555.1",-0.232065194619699
"AT3G07115.1",-0.0558919888138379
"AT5G20300.4",-0.0959832779025899
"AT5G34839.1",-0.0575131533445417
"AT1G60787.2",-0.0689207793501821
"AT3G19830.1",-0.0883884283364814
"AT3G42556.1",-0.0514528319782181
"AT4G22400.1",-0.0608295753410891
"AT1G02570.1",-0.0626756709814182
"AT1G26790.1",-0.0527462214172493
"AT1G01350.1",-0.0575568932753688
"AT2G30290.1",-0.0743398988357242
"AT1G06570.2",-0.136669368083003
"AT3G06240.1",-0.147470021049491
"AT2G12083.1",-0.0608632119832583
"AT2G05195.1",-0.128738589460566
"AT1G16080.1",-0.0806992702669269
"AT2G08205.1",-0.0620013288433283
"AT1G47340.1",-0.110410737012026
"AT5G35140.1",-0.0651988581768174
"AT2G04920.1",-0.0740439562499146
"AT1G08717.1",-0.229901063413438
"AT3G07110.1",-0.141915344123606
"AT2G39420.1",-0.0509413401426629
"AT1G07900.1",-0.140416663043254
"AT3G21160.2",-0.0825854140582056
"AT1G04993.1",-0.128779768701502
"AT3G54800.1",-0.0795706820808457
"AT5G04190.1",-0.226347720711609
"AT3G29460.1",-0.356007213186126
"AT5G26910.4",-0.273715645210095
"AT1G13730.1",-0.218512427808041
"ATMG00340.1",-0.053976574726435
"AT3G03435.1",-0.0854105744136028
"ATCG00200.1",-0.0554350773875694
"AT2G25010.1",-0.291502012997061
"AT2G20362.1",-0.0939198281636497
"AT1G21870.1",-0.263635498629706
"AT4G22415.1",-0.314163270681886
"AT1G68765.1",-0.072619107435781
"AT3G31460.1",-0.121738343744977
